expense_date,category,supplier,amount,fixed_or_variable
2026-03-24,Rent,Workspace Co,2500.00,fixed
2026-03-26,Software,StackSuite,1200.00,fixed
2026-03-27,Fulfillment,ShipRight,1800.00,variable
2026-04-02,Rent,Workspace Co,2500.00,fixed
2026-04-06,Software,StackSuite,1250.00,fixed
2026-04-09,Fulfillment,ShipRight,2300.00,variable
2026-04-14,Contract Labor,Ops Bench,3100.00,variable
2026-04-20,Marketing,Local Ads,1900.00,variable
2026-04-23,Fulfillment,ShipRight,3400.00,variable
2026-04-27,Contract Labor,Ops Bench,4200.00,variable
